date,title,address,url
"June 17, 2026",Antica Terra Expands With Major Vineyard Acquisition,"6457 SE Amity Rd, Amity, OR 97101",https://whatnow.com/portland/restaurants/antica-terra-expands-with-major-vineyard-acquisition/
"June 17, 2026",Blvd Bar BQ and Wings is Expanding!,"6435 S Rainbow Blvd, Las Vegas, NV 89118",https://whatnow.com/las-vegas/restaurants/blvd-bar-bq-and-wings-is-expanding/
"June 17, 2026",Portland Spirit Wants to Open a Restaurant in One of Portland's Most Iconic Spots,"1020 SW Naito Pkwy, Portland, OR 97204",https://whatnow.com/portland/restaurants/portland-spirit-wants-to-open-a-restaurant-in-one-of-portlands-most-iconic-spots/
"June 17, 2026",Candente to Open its Third Greater Houston Region Eatery,"2020 Lawrence St, Houston, TX 77008",https://whatnow.com/houston/restaurants/candente-to-open-its-third-greater-houston-region-eatery/
"June 16, 2026",Fresh Brew Coffee and Tea to Open in the Imperial Oaks Shopping Center,"21502 Rayford Rd, Humble, TX 77338",https://whatnow.com/houston/restaurants/fresh-brew-coffee-and-tea-to-open-in-the-imperial-oaks-shopping-center/
"June 16, 2026",888 Sushi and Robata to Open Another Las Vegas Valley Eatery,"5865 Spring Mountain Rd, Las Vegas, NV 89146",https://whatnow.com/las-vegas/restaurants/888-sushi-and-robata-to-open-another-las-vegas-valley-eatery/
"June 16, 2026",Jimmy John's to Join Dunkin' at TA Express in Houston,"4808 N McCarty St, Houston, TX 77013",https://whatnow.com/houston/restaurants/jimmy-johns-to-join-dunkin-at-ta-express-in-houston/
"June 16, 2026",Burning Rice Is Heading to Mansfield,"2301 E Broad St, Mansfield, TX 76063, USA",https://whatnow.com/dallas/restaurants/burning-rice-is-heading-to-mansfield/
"June 16, 2026",Taco-n-ganas to Debut First Drive-Thru Location,"8079 Trinity Rd, Cordova, TN 38018",https://whatnow.com/memphis/restaurants/taco-n-ganas-to-debut-first-drive-thru-location/
"June 16, 2026",Lobster Lab Expanding to Del Mar and UCSD in 2026,"12841 El Camino Real, San Diego, CA 92130",https://whatnow.com/san-diego/restaurants/lobster-lab-expanding-to-del-mar-and-ucsd-in-2026/
"June 16, 2026",School Specialty Coffee Expanding to Hamilton,"147 Locke St S, Hamilton, ON L8P 4B1, Canada",https://whatnow.com/toronto/restaurants/school-specialty-coffee-expanding-to-hamilton/
"June 16, 2026",Barcade Opening in Ypsilanti Next Year to Partner with Local Restaurants,"14 W Michigan Ave, Ypsilanti, MI 48197",https://whatnow.com/detroit/restaurants/barcade-opening-in-ypsilanti-next-year-to-partner-with-local-restaurants/
"June 16, 2026",Popular Nashville Thai Restaurant Degthai Slated For Hendersonville Debut,"750 W Main St, Hendersonville, TN 37075, USA",https://whatnow.com/nashville/restaurants/popular-nashville-thai-restaurant-degthai-slated-for-hendersonville-debut/
"June 16, 2026",Zellers Expanding With Focus on Diner Concept,"80 Orfus Rd, North York, ON M6A 1M1, Canada",https://whatnow.com/toronto/restaurants/zellers-expanding-with-focus-on-diner-concept/
"June 16, 2026",SusieCakes Preparing La Jolla Village Bakery,"8855 Villa La Jolla Dr #490, La Jolla, CA 92037",https://whatnow.com/san-diego/restaurants/susiecakes-preparing-la-jolla-village-bakery/
"June 16, 2026",Key Deli & Ice Cream Shop Opening in West Columbia,"1505 Charleston Hwy., West Columbia, SC 29169",https://whatnow.com/charleston/restaurants/key-deli-ice-cream-shop-bringing-comfort-food-favorites-to-west-columbia/
"June 16, 2026",Foodtastic Acquires Kinton Ramen,,https://whatnow.com/toronto/restaurants/foodtastic-acquires-kinton-ramen/
