date,title,address,url
"September 05, 2026",Lucky Bird Bringing Rotisserie Chicken Restaurant to Downtown Knoxville,"412 S Gay St, Knoxville, TN 37902, USA",https://whatnow.com/nashville/restaurants/lucky-bird-bringing-rotisserie-chicken-restaurant-to-downtown-knoxville/
"September 05, 2026",Willie Jewell’s Old School Bar-B-Q Coming to Jacksonville International Airport,"2400 Yankee Clipper Dr, Jacksonville, FL 32218, USA",https://whatnow.com/jacksonville/restaurants/willie-jewells-old-school-bar-b-q-coming-to-jacksonville-international-airport/
"September 05, 2026",Black Rock Coffee Bar  Slated for Montclair,"8970 Central Ave., Montclair, CA 91763",https://whatnow.com/san-francisco/restaurants/black-rock-coffee-bar-slated-for-montclair/
"September 05, 2026",Black Rock Coffee Bar To Open In Rancho Cucamonga In October,"8736 Base Line Road, Rancho Cucamonga, CA 91701",https://whatnow.com/orange-county/restaurants/black-rock-coffee-bar-to-open-in-rancho-cucamonga-in-october/
"September 05, 2026",KASH Café Plans Debut For Bancroft Way,"2482 Bancroft Way, Berkeley, CA 94704",https://whatnow.com/san-francisco/restaurants/kash-cafe-plans-debut-for-bancroft-way/
"September 05, 2026",Cowboy by Nick's Coming To San Juan Capistrano,"31904 Paseo Adelanto, San Juan Capistrano, CA 92675",https://whatnow.com/orange-county/restaurants/cowboy-by-nicks-coming-to-san-juan-capistrano/
"September 05, 2026",Pasta Viva To Open New Irvine Location By End Of 2026,"6636 Irvine Center Drive, Irvine, CA 92618",https://whatnow.com/orange-county/restaurants/pasta-viva-to-open-new-irvine-location-by-end-of-2026/
"September 04, 2026",Telefèric Barcelona Brings a Family’s Spanish Restaurant Legacy to Newport Beach,"311 Newport Center Dr. Newport Beach, CA 92660",https://whatnow.com/orange-county/restaurants/teleferic-barcelona-brings-a-familys-spanish-restaurant-legacy-to-newport-beach/
"September 04, 2026",Top Dog To Open New Berkeley Location On Shattuck Avenue,"2021 Shattuck Ave., Berkeley, CA 94704",https://whatnow.com/san-francisco/restaurants/top-dog-to-open-new-berkeley-location-on-shattuck-avenue/
"September 04, 2026",OC Hospitality Leaders Convene at What Now Media Group Accelerate Networking Event,"311 Newport Center DrNewport Beach, CA 92660",https://whatnow.com/orange-county/restaurants/oc-hospitality-leaders-convene-at-what-now-media-group-accelerate-networking-event/
