title,url,source,pub_date,snippet,query
SpotOn selects Hawaii as first market for new showroom concept as it expands Pacific presence,https://www.bizjournals.com/pacific/news/2026/07/06/spoton-to-open-showroom-in-kakaako.html,Pacific Business News,4 hours ago,"SpotOn, a restaurant technology and financial services company, will open a showroom on Saturday in Keawe Retail at Our Kakaako, expanding its presence across the Pacific and deepening its commitment to Hawaii’s restaurant industry.

…",restaurant opening
Popular Brickell restaurant Negroni files Chapter 11 less than a year after opening,https://www.bizjournals.com/southflorida/news/2026/07/06/popular-brickell-restaurant-negroni-chapter-11.html,South Florida Business Journal,5 hours ago,"After years of anticipation surrounding its Brickell debut, Negroni Bistro & Sushi Bar's operating entity has filed for Chapter 11 bankruptcy protection less than a year after opening its doors to the public.

Negroni Brickell LLC, which opened the restaurant at 955 S. Miami Ave. in September 2025 after a prolonged development period, filed for Subchapter V Chapter 11 protection on July 1 in the U.S. …",restaurant opening
"Piada Italian Street Food enters Austin market, plans several more locations",https://www.bizjournals.com/austin/news/2026/07/06/piada-italian-food-atx-expansion-northline-texas.html,Austin Business Journal,5 hours ago,"The Pflugerville restaurant , also about 2,500 square feet, will open in November, according to Juhas. Both stores have 10-year leases with two options for renewal. …",restaurant opening
Shuttered Sausalito restaurant Osteria Divino will be resuscitated by San Francisco bar veterans,https://www.bizjournals.com/sanfrancisco/news/2026/07/06/notte-divino-osteria-sausalito-food-bar-live-music.html,San Francisco Business Times,11 hours ago,"At the same time, the restaurant will retain a lot of the familiar faces locals have gotten to know over the years. Funk said much of Osteria Divino's staff will return along with the head bartender and the head chef for the past decade-and-a-half. 

…",restaurant opening
Restaurant Roundup: Florida steakhouse eyes big Gulch location,https://www.bizjournals.com/nashville/news/2026/07/06/restaurant-roundup-steakhouse-terra-gaucha-nashvil.html,Nashville Business Journal,12 hours ago,"To keep up with the growth, the Business Journal compiles a weekly list of need-to-know restaurant news. Here’s the latest from Music City’s culinary boom.



Harding House Brewing is opening soon in L&L Market, bringing multiple local operators under one roof.

…",restaurant opening
Mary Nguyen,https://www.bizjournals.com/denver/c/dbj-power-book-2026/45326/mary-nguyen.html,Denver Business Journal,12 hours ago,"Notable projects: Over the past year, I have
led the expansion of Olive & Finch Collective with the opening of
new locations at Denver Union Station, CSU Spur, the Denver
Performing Arts Complex and in the Golden Triangle, our largest restaurant to date. …",restaurant opening
Ember & Iron's entry into St. Augustine restaurant scene reveals market shift,https://www.bizjournals.com/jacksonville/news/2026/07/06/new-entry-into-st-augustine-market.html,Jacksonville Business Journal,12 hours ago,"She said the Cooneys will make a sizable investment in the property themselves, adding to the long-term value.

They certainly know the restaurant business. Michael Cooney has a couple of decades of experience, including a stint as the chef de cuisine at Restaurant Medure before opening the first Ember & Iron in 2021. …",restaurant opening
Moore County lake home hits market for $7 million (photos),https://www.bizjournals.com/triangle/news/2026/07/06/pinehurst-home-lake-auman-moore-county-west-end.html,Triangle Business Journal,14 hours ago,"(NYSE: VNT) and Martin Marietta (NYSE: MLM).






Early this year, Wilmington restaurant manna was named one of USA Today’s 2026 restaurants of the year — now its owners are opening up a new concept less than a mile away in the Port City’s downtown area.

…",restaurant opening
Port of Subs picks suburban Maryland for first D.C.-area store,https://www.bizjournals.com/washington/news/2026/07/06/port-of-subs-laurel-franchisee-bryan-denson.html,Washington Business Journal,17 hours ago,"""The town itself is small enough to have a small town feel, but it's busy enough to support another restaurant .""

Port of Subs is a fast-casual sandwich chain started in 1972 from an initial location in Sparks, Nevada, then called the Sub Shop. …",restaurant opening
Scaled-back East End food incubator opens after co-founder's death nearly derailed project,https://www.bizjournals.com/houston/news/2026/07/06/magnolia-fund-htx-ox-st-kitchen-food-entrepreneurs.html,Houston Business Journal,21 hours ago,"During his time in the industry, he built one of Houston's earliest online restaurant menu platforms in 2001 and launched Rev Eco-Shuttle, the city's first all-electric rideshare service, preceding Uber and Lyft. He later pivoted to healthcare technology and lab testing during the pandemic through his company Ordrs. …",restaurant opening
