title,url,source,pub_date,snippet,query
Margot Cafe and Bar building listed for $3M following restaurant 's closure,https://www.bizjournals.com/nashville/news/2026/07/07/margot-cafe-bar-building-nashville-3m-listed.html,Nashville Business Journal,An hour ago,"Margot McCormack, who opened Margot Cafe and Bar in 2001, purchased the property in 2015 for $730,000. Exactly 25 years after opening , McCormack closed her French-inspired restaurant on June 5.

While McCormack would love the building to become another restaurant , the building was a gas station before and is bound to be something else one day, McCormack told the Business Journal in November.

…",restaurant opening
Tennyson BBQ restaurant opening second location near DU with new menu item,https://www.bizjournals.com/denver/news/2026/07/07/post-oak-barbeque-resturant-university-of-denver.html,Denver Business Journal,7 hours ago,"Texas-style barbecue is coming to the University of Denver neighborhood.

Post Oak Barbecue, a North Denver restaurant known for its brisket, is opening a second location one block from the DU campus in the former home of Sawa Mediterranean Restaurant and Buffet, which closed earlier this year. 

…",restaurant opening
Jellybean and Julia's owner opening fast-casual concept in former Anoka location,https://www.bizjournals.com/twincities/news/2026/07/07/jellybean-julias-swaps-corner-anoka.html,Minneapolis / St. Paul Business Journal,9 hours ago,"“Most chicken-wing places don’t do that,” Swap said. “The sauces are good, but the chicken is not good.”

The restaurant makes everything from scratch and doesn’t use seed oils; instead it fries with beef tallow and makes sauces with butter, avocado oil or olive oil, which are more expensive. …",restaurant opening
Downtown Portland food cart pod set for partial opening after permitting delays,https://www.bizjournals.com/portland/news/2026/07/07/sip-forage-food-cart-pod-downtown.html,Portland Business Journal,10 hours ago,"After lengthy permitting delays, construction on a downtown Portland food cart pod is on track and developers have plans for a partial opening next month. 

Called Sip & Forage, the pod at 1900 S.W. 5th Ave. is slated to open Aug. 15, said Steve Master, CEO of project developer Master Development.

…",restaurant opening
'Immersive challenge room' opening in massive space at Kenwood Towne Centre,https://www.bizjournals.com/cincinnati/news/2026/07/07/brkthrough-kenwood-towne-centre-challege-room.html,Cincinnati Business Courier,11 hours ago,"A venue that bills itself as an immersive challenge room and social entertainment experience is opening its first Ohio location in 22,000 square feet at Kenwood Towne Centre.

Overland Park, Kan.-based Brkthrough announced July 7 it will open near the food court on the lower level of the mall located at 7875 Montgomery Road in Sycamore Township on July 13. …",restaurant opening
"Mamba Hospitality Group plans Garden Oaks Pho Prime location, Vietnamese barbecue concept, more",https://www.bizjournals.com/houston/news/2026/07/07/mamba-hospitality-group-pho-prime-other-expansions.html,Houston Business Journal,12 hours ago,"Kiet Duong and Julie Nguyen, the husband-and-wife team behind the company, told the Houston Business Journal that the first item on their agenda is opening a new Pho Prime location in the Stomping Grounds development at 1223 W. 34th St. in the Garden Oaks area. 

The new 2,000-square-foot restaurant is scheduled to open in the next few months and will add to existing Pho Prime locations in Alief and Pearland. 

…",restaurant opening
Former Kissimmee bank eyed for Brazilian restaurant conversion,https://www.bizjournals.com/orlando/news/2026/07/07/brazilian-restaurant-bank-conversion-kissimmee.html,Orlando Business Journal,16 hours ago,"Construction is already underway, including upgrades to building systems and installation of kitchen infrastructure, though no opening date has been announced.

The project follows prior CRA-backed redevelopment activity in the area, including the renovation of the historic Makinson Hardware building at 308 Broadway Ave., which received incentive funding and ultimately became home to 1881 Restaurant & Bar.

…",restaurant opening
Carefree OKs agreement to renovate historic mall; plus more Valley retail deals,https://www.bizjournals.com/phoenix/news/2026/07/07/carefree-makes-deal-to-renovate-los-portales-mall.html,Phoenix Business Journal,16 hours ago,"The planning commission approved PopStroke to build two buildings – a 5,827-square-foot restaurant and full-service bar, and another at 1,511-square-foot building that will house an office, beverage service and a small ice cream parlor.

…",restaurant opening
St. Francis steakhouse space vacant since 2024 eyed for new tavern concept,https://www.bizjournals.com/milwaukee/news/2026/07/07/dobies-restaurant-converts-new-tavern-st-francis.html,Milwaukee Business Journal,17 hours ago,"Upthall bought the building from Feker for $1.7 million in November 2024, according to Wisconsin state property records. Upthall has proposed opening Hideout Bar N Grill in the former Dobie's space, according a proposal filed with the city of St. Francis.

""The Hideout aspires to be a welcoming neighborhood restaurant where friends and family can gather for all occasions from Sunday breakfast to Friday fish fry and a special celebration,"" Upthall wrote in his application materials to the city. 





…",restaurant opening
"Restaurant roundup: Melt, Miam expand; butcher bar opening soon; coffee shops closes location",https://www.bizjournals.com/triad/news/2026/07/07/special-blend-melt-battleground-butcher-miam-nc.html,Triad Business Journal,17 hours ago,"A long-time Greensboro restaurant is ramping up operations in the Gate City. Melt Kitchen & Bar is opening its second Greensboro location at 3606 N. Elm St. July 15.  

…",restaurant opening
Oceanfront restaurant debuts at Atlantic Beach hotel with farm-to-table menu,https://www.bizjournals.com/jacksonville/news/2026/07/07/coastal-farmer-opens.html,Jacksonville Business Journal,17 hours ago,"A signature dining destination is now open in Atlantic Beach.

After the early March 2026 opening of the Dune House Hotel & Spa, owner and operator Sage Hospitality announced the opening of Coastal Farmer, an oceanfront restaurant inside Dune House at One Ocean Blvd. in Atlantic Beach. …",restaurant opening
Horse Soldier Bourbon opens $200M distillery in Somerset,https://www.bizjournals.com/louisville/news/2026/07/07/horse-soldier-bourbon-farms-distillery-somerset.html,Louisville Business First,17 hours ago,"As America celebrates its 250th year, we’re honored to add a small chapter to Kentucky’s extraordinary story.”

Before the distillery’s opening , Horse Soldier had two locations of its Urban Stillhouse by Horse Soldier, which featured a tasting room and restaurant . One is located in Somerset near the distillery. …",restaurant opening
"Longtime OTR restaurant to close, relocate as new concept",https://www.bizjournals.com/cincinnati/news/2026/07/07/quan-hapa-relocate-rebrand-yo-di-otr-taste-belgium.html,Cincinnati Business Courier,18 hours ago,"Quan Hapa was one of the Lang Thang Group's earliest restaurants, opening in 2012 after Pho Lang Thang's 2010 debut. The restaurant has closed and reopened twice since then, going through its first rebrand in November 2021 and showcasing a new dining room and menu. 

…",restaurant opening
Sprouts Farmers Market sets opening date for new South Jersey store,https://www.bizjournals.com/philadelphia/news/2026/07/07/sprouts-sewell-new-jersey-opening-date.html,Philadelphia Business Journal,3 hours ago,"There are three existing Sprouts stores in South Jersey in Marlton, Haddon Township and Woodbury.

The upcoming opening represents Sprouts’ continued expansion in the Philadelphia area. The grocery store opened its first Sprouts in Philadelphia in 2018. 

…",store opening
Mancini's Sleepworld opening new location in Davis,https://www.bizjournals.com/sacramento/news/2026/07/07/mancinis-sleepworld-davis-store.html,Sacramento Business Journal,7 hours ago,"All four locations have since opened. 

The chain also recently opened a fifth local store , which is at 2001 Arden Way near Cal Expo.

Bergen said the company hopes to open the Davis site by October 2026 and construction for the space is underway.…",store opening
Investment firm buys Independence shopping center in busy corridor,https://www.bizjournals.com/kansascity/news/2026/07/07/noland-south-shopping-center-dormie-independence.html,Kansas City Business Journal,9 hours ago,"Also to the north, near Interstate 70, Wally's broke ground in April on a $53 million, 53,960-square-foot convenience store that the travel chain targets opening in August 2027.

""Together, these projects are expected to drive traffic and leasing demand across the corridor,"" Dormie said in its release. 

…",store opening
Duluth's only Ragstock store leaving downtown after nearly 40 years for Miller Hill Mall,https://www.bizjournals.com/twincities/news/2026/07/07/duluth-ragstock-store-moves-miller-hill-mall.html,Minneapolis / St. Paul Business Journal,9 hours ago,"Further details on the Miller Hill location, like an opening date, will be released by Simon in the coming months. 

The clothing store has operated its Duluth location on the edge of downtown’s Canal Park entertainment district since 1989. …",store opening
Half Price Books plans return to Montrose,https://www.bizjournals.com/houston/news/2026/07/07/half-price-books-plans-return-to-montrose.html,Houston Business Journal,10 hours ago,"""We’ve heard from countless customers in recent years how much they loved that store and miss having a store in the loop, so we are excited to finally return to the area. We don’t have any firm dates regarding the opening of this location right now, but plan to open sometime in 2027.""

…",store opening
$15M grocery store moves closer to breaking ground in west Charlotte,https://www.bizjournals.com/charlotte/news/2026/07/07/co-op-market-grocery-store-food-west-side.html,Charlotte Business Journal,10 hours ago,"West Charlotte residents haven’t had a full-service grocery store in their neighborhood in 36 years. They’re finally getting closer.

On July 7, Elliott Royal, executive director of the West Boulevard Neighborhood Coalition, a nonprofit developer working to bring a co-op market to Romare Bearden Drive near the Stratford Richardson YMCA, told a community meeting she has targeted 18 months for the opening of a 12,000-square-foot market.

…",store opening
Dick’s to open second Pittsburgh-area House of Sport location,https://www.bizjournals.com/pittsburgh/news/2026/07/07/dicks-house-of-sport-greensburg-opening.html,Pittsburgh Business Times,10 hours ago,"A new Dick’s House of Sport location is set to open outside Pittsburgh early next month.

Dick’s Sporting Goods announced that the grand opening of its Greensburg location will take place on Friday, August 7. The store takes over the space of a former Sears location that closed at the Westmoreland Mall in 2019. …",store opening
Swags moving to Beechmont neighborhood,https://www.bizjournals.com/louisville/news/2026/07/07/swags-running-store-relocating.html,Louisville Business First,10 hours ago,"A locally-owned running store is moving.

Swags, formerly known as Swag’s Sports Shoes, is relocating its Auburndale Plaza Shopping Center store . The retailer has been in the shopping center since 1985.

…",store opening
5 things: Philz Coffee holds grand opening in The Village retail center in Elk Grove,https://www.bizjournals.com/sacramento/news/2026/07/07/5-things-philz-coffee-opening-village-elk-grove.html,Sacramento Business Journal,14 hours ago,"Those stores are in Davis, Sacramento's Ice Blocks development and Sacramento's South Land Park neighborhood.



Speaking of openings, a new store called Ginger & Raven begins a soft opening today in Midtown Sacramento. On its Facebook page, the business calls itself an oddities store .

…",store opening
