Store,Analyst,Industry,Type,Title,Link,Published,Summary,Date_Appended
Autozone,Komal Agrawal,Mass Merchandisers,Closing,AutoZone (AZO) Announces $850 Million Notes Offering - GuruFocus,https://news.google.com/rss/articles/CBMikgFBVV95cUxPTFFNOUROWU9pel8ybG5EZ2xyS2ZTaVQxTVQ3eXRxMy1wWkl6dlpkMmVvMl84R1V4MkU1R0N0SWdTeW9scGsydjRueGg3SUZJNmQ0bzVvWlQxWHQ0NGRHTU5heWxiQjRtUDFlSjlEbU5QTmNRRGNBMm05VkhHc2l2VjBUZ1dWc1c0TUFKekNzR0VpUQ?oc=5,2026-07-10 00:03:37+00:00,AutoZone (AZO) Announces $850 Million Notes Offering GuruFocus,2026-07-10
Domino's Pizza,Dhiraj Manghani,Restaurants,Opening,Domino’s Pizza to Open New Location in East Austin - WhatNow,https://news.google.com/rss/articles/CBMikwFBVV95cUxOMEw5cjFuMTM5Z19PVTAxc0ZRYVIwZFN2R3ZveHlGd1dpSFdGblFsX3BQdk5ia2xVSDZLeno0SHoxbk1CdjhvbXhJQmdJS182TWtvZ2Q2bHFJbXgxdGVBa3Fwa2NTWGFUeWdWOTMxSkpQb0RoMHdvNFVIU2RuWEgzVUxSTVZEUlVXTzhKSmJQa21na0E?oc=5,2026-07-09 23:18:08+00:00,Domino’s Pizza to Open New Location in East Austin WhatNow,2026-07-10
Autozone,Komal Agrawal,Mass Merchandisers,Closing,AutoZone to Issue $850 Million 4.950% Notes Due 2031 Under Underwriting Agreement - TradingView,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQYVFZYTRxZE9CaDY2NkJHSVJ6YXpFOGVuWTVqYUZEZDhQcS1yN25iblppa3ByeWJCU3I4UU5NVWFCUFF6QmlhUHlOa2NUNHlOUkpJUkNGbGUzbk4yTWRlVmE5UHJ5UC1XUmpWTXB4QzhyUHhrTUl1aXJTeFZrRnVkOEhWSWRiYWhzNTgxYWtPVFJYaHg0ZW9XR1NUZ25QTXcxWUxYRGplZG1VaGp3Z2VRZXlwS0V0MmxWUmhwUEx6VEJNZm5kUzd3emF3VEFQSm91SWZWSEFrejU?oc=5,2026-07-09 21:23:00+00:00,AutoZone to Issue $850 Million 4.950% Notes Due 2031 Under Underwriting Agreement TradingView,2026-07-10
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WLBT,https://news.google.com/rss/articles/CBMinwFBVV95cUxNc0o2Qy1YaXZYNGFRbjAzUXlCN3hpZ1N4ck5rY0RkMWZETEp4MEtyVXdEOHlvOEg1ZG9BdFZrcnItdzAyb2p2VHM2bUpyOG5MMjNvd0d0UnZ6eF9xa3FxLVVrOE9yTHhtZjVITFFreGticHd5V0JMWDFwVFltNjdaMmtvTVlIVGNtUEVfN1Mzd2k4emVwVmx4TllJUGQwMk0?oc=5,2026-07-09 21:14:16+00:00,BJ’s Wholesale Club expected to open South Mississippi location WLBT,2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A reveals locations of its 5 planned restaurants in Minnesota - Bring Me The News,https://news.google.com/rss/articles/CBMiugFBVV95cUxNU1U1d0ItbWdESlRpYTdBTW43b0xiRkRFdnIzdWJGVExMOTlQZ0VFdjhLWS15bGFmSlZzaTVFUEE1V0hvN0lGaW8tY0JLSTZmbzlCRFdlV1R2TEZva3BTbkFZSmxmQ2JFM0ZtY1hjc3h0YjVFTzBLUWFtQVJWQS03dm9OMDZ6dFRGNEJ2QWtlMFZEMjNBLXY1cEpoU09xcUlER2xsS3dIVW9pcDFxc3RvWTVTTWJvNm94bUE?oc=5,2026-07-09 20:51:04+00:00,Chick-fil-A reveals locations of its 5 planned restaurants in Minnesota Bring Me The News,2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A opening another Detroit location later this year - Detroit Free Press,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQzlpM0lZdlZnb0dDWE9id0taVXNLeF9PZlFXdFMxdXZlcnhZWkVNWnQ1dE5RMkVwakpKVjJHS2RORm93dmM2X2dqQTBkU2taSEh1Y2t1X0hsRWVSeVVRSEFpdjRaV1lFSmJNWC01Z1lXM3ZYOEJ4WlNLUWFRWlgtWEJhM0NjcEU5RmFGdWl4T3dUNEl1RTNSR0lxTFVHRnFDQzBkaWpQMEh3elJNWnRNTDMwN1FDV3NlWDIxdmpkRDBSYlFwRFhaUlBmV1JKYVgtalhwR3F2YVM?oc=5,2026-07-09 19:25:00+00:00,Chick-fil-A opening another Detroit location later this year Detroit Free Press,2026-07-10
Central Market,Kabeer Pandya,Grocery,Opening,"COMING SOON: Popular dessert spot, Crepe Bar set to relocate to Adelaide Central Market - Glam Adelaide",https://news.google.com/rss/articles/CBMitAFBVV95cUxOTDgxM3RyT25tbkZCSXd4NFFsRXBRZGs5eXRRM2xYbWNYQ3B1UDFkenJ3aTl4dG9WY0UxVmxYQ0dHWllBX3U0MDJBX0dNbFlLRXF3a2xoUmhPWnkyeXdmMDFFdE5Wd18tVGkyNkNJZGwwTkNoNllfZlVCblMtWklFVTRpNC1YZkhlUDJGWHpseWpKMTR0QTBzN2laRDZUN1BVTmh3UjNzNGlCeURlMENENkdnUFg?oc=5,2026-07-09 19:20:38+00:00,"COMING SOON: Popular dessert spot, Crepe Bar set to relocate to Adelaide Central Market Glam Adelaide",2026-07-10
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,A new Barnes & Noble in Edgewood shows growing demand for bookstores - WABE,https://news.google.com/rss/articles/CBMilwFBVV95cUxPb2tJNnZocnc4U0Q2UDItMnlwclhMRU9LSjVDNHJ6dHVRamxVNUgwclBuOS1Ba1JnN3FZZFVHSTNHa1JPQi1KcWRSZUpnQ2FfOExYaXhORnF6TVIzbW9ncmp0Q1VMdlBURm9hSXhmNG4yOEpocWpNalA2cUNyLWFlaDRVdW16TmtYcGE3LXk1YUV6WllJYzdF?oc=5,2026-07-09 19:16:19+00:00,A new Barnes & Noble in Edgewood shows growing demand for bookstores WABE,2026-07-10
Mountain Mike's Pizza,Vishwas Shah,Restaurants,Closing,Last Call: Folsom Tap House Closing Its Doors After 12 Year Run - Folsom Times,https://news.google.com/rss/articles/CBMilgFBVV95cUxOd3VlTjhXVHV6WTFJMnVmeTR5cVc4TTJWY2lXNVZWU1ZuTEZ4cXh0RjZFSURsMTRudkkyTkVrUjdXbDVPM3FjbnJkMkdkUzBDU3l1dVVSaW9rdnhvU3NnaHFQX0ZBUWNZVkhEazBGcWhRenhTWURUNGJrQm5PbGVVa2ZOVGVlY2NfX2JabUpiM2libFc4Znc?oc=5,2026-07-09 19:09:44+00:00,Last Call: Folsom Tap House Closing Its Doors After 12 Year Run Folsom Times,2026-07-10
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe’s is opening another store in Pa.: Here’s where - PennLive.com,https://news.google.com/rss/articles/CBMingFBVV95cUxOV2dVM0loOVFLUUt5TVVyLUhrSTRteFNfeEFLQUlOUlRCSHBRd1FoS2h1dy12ZzlXVG5rN2F4MVItdU91d0RtQzlYbDNxUFdUbkFKWmdDa09qeTNhZk9vdk1BSU5TUXR6d2kyVV9iQ3FKbEU0LUM5TFFPSGRwcS1Tb0xIV19qZ0hzbnNkTXZheHBoSG45YlR1Qlc0c1RSZ9IBsgFBVV95cUxPUVQxTkVOM0FOUS1QRVJkc21LeFM3SVZqekU3UGt2UFdOTy16bnh2SldLcDBvMjR2X3RYWjdMdWlMQXEtY3A4UkpKZTNpUnNCb3ZCZEZSZzIwa3lUMU92Ui1SQ3pUQkt1UTBEMi1NbE1OXzc4VWlhR0hjXy12Y01WaWM1OEIwWWl0aWVJbDYteE5pNlp0cDUzRWVuUWVMMjRLcmVPMDJuY1VYOWZva3RBX013?oc=5,2026-07-09 17:42:00+00:00,Trader Joe’s is opening another store in Pa.: Here’s where PennLive.com,2026-07-10
PetSmart,Ayushi Chandel,Mass Merchandisers,Closing,PetSmart Closure in San Francisco: What Pet Owners Need to Know - News and Statistics - IndexBox,https://news.google.com/rss/articles/CBMigAFBVV95cUxQSmlTMHBVcFBMc3NWU1JiWTY4N0FQdml6MzVVX2dqNW1DZzJFSXRISExVTXU1SVl0ZFpnLVRmd2JzRUNQU0JiTDJiWWh3Z0w5eWNNVW1jZDQ3Z0ZuS2FGMV9DU09zWkhrZUhqWkU0SjYzTDE5Y2pTTnBhUWhmdWpZUQ?oc=5,2026-07-09 17:41:00+00:00,PetSmart Closure in San Francisco: What Pet Owners Need to Know - News and Statistics IndexBox,2026-07-10
PetSmart,Ayushi Chandel,Mass Merchandisers,Closing,PetSmart's only San Francisco store set to close as online shopping and same-day delivery reshape pet retail - Fox Business,https://news.google.com/rss/articles/CBMizgFBVV95cUxPRGxsU2FfbWYtNDAyTklmdE1hV3l5dXdwc2cxM1ZKSUpmaEkwZGN3Qm5IcG5oNnhSYk9DMVVFYjd2Q041Ql96WlhIUVd5eEJFUzFsTW5Xb08xcUhBS3U1aEFoaWl6LVhFOTBCeENfdzg5MS1qVnE0bDNiNnNUejc0UGFQSUxVTlhGVjYxd2hISTVwUHJZSktMTEtZLVJIaGZWTFBaSl9keWxrOVBMSF8xc3dLamxBcEx3Q3ZzanU4d2loYzFNdXAyTGx1UXBWQdIB0wFBVV95cUxPQ1FObi1xVmtoeVprdDBWRF81SmRmYjdtcXNjNGNobHpLcGF0c2FLblo3Q3FXci1PbDlmeFV0bWN3d3l5c0V0MEpMRDFZUFhfTDZ0ZzRBN1EzamFiZ2FKNG5XcE9UbE4zai1RY0txUGQyOUxlQ00wdmpfNmtWal95U3ZBb0pOWGdad1VtM0dqekJlQ0p4T3Vtak5wYTltNXpvVjVqR3dsaFd3Z3BmZ2lvbkt1UGxQY0pTemdYZjNIZ1c4LUhRMXVyQ3FiQVZpUXFCWVJN?oc=5,2026-07-09 16:54:00+00:00,PetSmart's only San Francisco store set to close as online shopping and same-day delivery reshape pet retail Fox Business,2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Hungry? Chick-fil-A to open in Mankato soon - KEYC News Now,https://news.google.com/rss/articles/CBMieEFVX3lxTE5OaFlHbnhBNml1d1dtQkhua0JXcmFTWU54bENVQVkxeEwyOXFOX0o4c3J5XzhEdEZVcWhQSWhqTnlXYndnaU5IckxfN1NFTmZLYkM2dTVTSXlaQTZnZVBEckctREFSQ2FvcmlTUnBiV3A5MEhPd3czNtIBjAFBVV95cUxNRF9JdjFpT3dwdDBUWU5SM3Q3by1LNlBhS05fMkQzdm52ek9JRHBGQXVCR1hIc2hPNE14LVRHTG1FTUk2R2dVNHo1aWoyZW1aMFNFUnl6Y09ZbTVrdTJRakxfR1kxdVZ1bWxmQ2RCRXc1czB3ZlJKRW5tU3o5MHZLb1lvS0V1NUVhT3BRYg?oc=5,2026-07-09 16:51:00+00:00,Hungry? Chick-fil-A to open in Mankato soon KEYC News Now,2026-07-10
